id,lang,prefix,total,good,views,edits,users,admins,ts,loclang,images,loclanglink,activeusers,version,si_mainpage,si_base,si_sitename,si_generator,si_phpversion,si_phpsapi,si_dbtype,si_dbversion,si_rev,si_case,si_rights,si_lang,si_fallback8bitEncoding,si_writeapi,si_timezone,si_timeoffset,si_articlepath,si_scriptpath,si_script,si_variantarticlepath,si_server,si_wikiid,si_time,method,http
36,Czech,cs,890650,336183,42278,13383931,314890,28,2015-11-02 00:00:25,Čeština,2,Čeština,2021,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
25,Korean,ko,1142984,332575,38991,16932670,373037,33,2015-11-02 00:07:22,한국어,11810,한국어,2731,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
50,Serbian,sr,1188705,327107,3862,11669067,169858,22,2015-11-02 00:05:50,Српски / Srpski,27069,Српски_језик,668,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
81,Malay,ms,752036,278484,4072,4063459,163450,16,2015-11-02 00:09:02,Bahasa Melayu,19375,Bahasa_Melayu,331,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
32,Turkish,tr,1378450,255039,9762,17158996,802766,25,2015-11-02 00:00:42,Türkçe,28617,Türkçe,3018,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
304,Minangkabau,min,315815,221671,,1163690,4084,3,2015-11-02 00:00:56,Baso Minangkabau,188,,20,,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
51,Esperanto,eo,480512,220888,716972,5841776,112250,21,2015-11-02 00:00:23,Esperanto,6703,Esperanto,362,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
60,Basque,eu,580393,216226,9,5137700,62497,10,2015-11-02 00:06:44,Euskara,1,Euskara,269,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
43,Kazakh,kk,499352,212774,0,2449570,51158,13,2015-11-02 00:06:00,Қазақша,9542,Қазақ тілі,229,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
28,Danish,da,710044,210916,467539,8680790,252960,28,2015-11-02 00:07:03,Dansk,4,Dansk_(sprog),968,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
7,Bulgarian,bg,461403,208941,85,7372558,184335,28,2015-11-02 00:00:37,Български,1235,Български език,764,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
35,Slovak,sk,444001,207034,381,6171672,121013,8,2015-11-02 00:07:15,Slovenčina,5,Slovenčina,464,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
69,Armenian,hy,586639,190405,0,3749494,44741,9,2015-11-02 00:06:27,Հայերեն,5884,Հայերեն,545,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
26,Hebrew,he,755152,179921,29380,18602958,286109,39,2015-11-02 00:10:17,עברית,45685,עברית,2295,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
58,Lithuanian,lt,394125,174445,20,5040905,93540,17,2015-11-02 00:06:40,Lietuvių,18091,Lietuvių kalba,387,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
37,Croatian,hr,435715,158633,6276,4776429,152213,27,2015-11-02 00:06:36,Hrvatski,13930,Hrvatski_jezik,498,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
19,Slovenian,sl,346921,148163,14648,4683606,137348,25,2015-11-02 00:07:01,Slovenščina,6640,Slovenščina,302,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
14,Estonian,et,358774,138998,140,4418211,83047,31,2015-11-02 00:06:52,Eesti,2523,Eesti_keel,435,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
88,Uzbek,uz,648512,127991,0,2461138,23958,8,2015-11-02 00:08:39,O‘zbek,419,Oʻzbek_tili,106,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
11,Galician,gl,286747,125708,17,3793234,63144,14,2015-11-02 00:06:48,Galego,11107,Lingua_galega,280,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
83,Norwegian (Nynorsk),nn,286278,123982,0,2962708,67683,25,2015-11-02 00:09:06,Nynorsk,6,Nynorsk,176,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
23,Latin,la,230141,123120,60,3062519,79195,18,2015-11-02 00:07:19,Latina,1,Lingua_Latina,203,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
59,Volapük,vo,249081,120234,0,3306875,20070,3,2015-11-02 00:06:42,Volapük,0,Volapük_perevidöl,31,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
52,Simple English,simple,378263,115652,89,12626171,476472,19,2015-11-02 00:05:29,Simple English,23,Wikipedia:Simple_English_Wikipedia,695,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
18,Greek,el,338491,111387,4165,5613911,185813,20,2015-11-02 00:10:15,Ελληνικά,13672,Ελληνική_γλώσσα,883,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
